================================================================================
일일 결과 리포트 - BIM 적용
생성 시간: 2025-12-23 11:45:09
================================================================================

최종 결과:
  총 지연: 0.0일
  총 비용 증가: 0.00%
  총 처리 이슈: 72개

일별 상세:
Day    이슈     지연(일)        비용(%)       
--------------------------------------------------------------------------------
1      1      2.46         0.9485      
4      1      1.05         0.6400      
5      1      4.20         1.5200      
10     1      3.15         1.3600      
11     2      4.20         1.9200      
14     1      3.15         1.2800      
15     1      2.10         1.0400      
17     1      2.10         0.9600      
19     1      3.15         1.5200      
25     1      4.20         2.0800      
30     1      3.15         1.3600      
45     1      6.30         2.2400      
47     1      6.30         2.0800      
48     1      3.15         1.9200      
49     1      3.15         1.2000      
56     1      1.05         0.7200      
76     1      1.05         1.0400      
78     1      4.20         1.9200      
79     1      3.15         1.9200      
95     1      2.10         1.1200      
96     1      2.10         0.8000      
98     1      2.10         1.6000      
99     1      3.15         1.6800      
102    3      5.25         3.0400      
105    1      5.25         3.4400      
109    1      3.01         1.4607      
111    1      3.15         1.8400      
112    2      5.25         2.7200      
113    1      6.09         2.2626      
114    1      8.40         5.0400      
116    1      2.10         1.0400      
117    1      2.10         1.0400      
121    1      2.94         1.4257      
123    1      5.25         2.9600      
127    1      4.20         1.6000      
129    1      2.10         0.9600      
132    1      2.10         1.0400      
135    1      3.54         2.0501      
138    1      2.10         0.9600      
145    1      3.15         1.8400      
146    2      5.25         2.2400      
148    1      2.10         1.1200      
149    1      1.05         0.5600      
156    1      2.10         1.0400      
158    1      3.15         1.8400      
159    1      1.05         0.5600      
161    1      2.10         0.8000      
164    1      4.20         2.3200      
169    1      3.15         1.5200      
171    2      6.82         2.3732      
173    1      7.35         4.3200      
176    1      1.05         0.4800      
179    1      1.05         0.7200      
195    1      3.15         1.6000      
215    1      2.90         1.5340      
216    2      6.14         1.9337      
223    1      4.20         2.7200      
235    1      1.05         0.6400      
237    1      2.10         0.9600      
269    1      0.00         2.0000      
281    1      2.10         0.8000      
283    1      2.10         1.1200      
294    1      2.10         1.1200      
318    1      2.10         1.3600      
332    1      3.15         1.6000      
